,Geo_FIPS,Geo_TRACT,concentrated_disadvantage,commute_time,median_household_income,total_population,pop_below_18,pop_between_18_34,pop_between_34_65,pop_over_65,cars_per_home
101,06037113421,113421,0.2839631445940238,29.0,61228.0,6810,1629,2102,2399,680,0.5301759133964817
102,06037113422,113422,-0.6853951537283649,32.0,74262.0,6385,1188,1540,2836,821,0.7842546063651591
103,06037115101,115101,-1.2737054662585365,30.0,138750.0,5060,949,820,2187,1104,1.3582175925925926
104,06037115103,115103,2.0385746846230326,18.0,41818.0,3393,76,3200,106,11,0.8
105,06037115104,115104,0.46169743586522155,28.0,51094.0,4752,581,2409,1202,560,0.413023816701839
106,06037115201,115201,-0.33865929615094315,25.0,63768.0,6909,841,2933,2405,730,0.5949529512403764
107,06037115202,115202,-0.5563341355311401,31.0,61202.0,5328,858,1917,2021,532,0.8707124010554089
108,06037115301,115301,-0.9279564205516752,31.0,94615.0,4600,958,654,2006,982,0.7923728813559322
109,06037115302,115302,0.2531385574682148,29.0,46544.0,4132,1086,1211,1482,353,0.6657191586128482
110,06037115401,115401,-0.8208356980105675,31.0,61483.0,6219,1597,1358,2647,617,0.6174794173527549
111,06037115403,115403,-0.43289492488954606,34.0,52500.0,3722,945,1026,1406,345,0.7247058823529412
112,06037115404,115404,-0.5853978067662251,26.0,63659.0,2926,573,895,1084,374,0.8931799506984388
113,06037117101,117101,-0.10700617553558069,31.0,79005.0,5115,1118,1382,2266,349,0.864297253634895
114,06037117102,117102,-0.7199003104051072,33.0,62643.0,2839,646,732,1130,331,1.262488646684832
115,06037117201,117201,-0.0456590837695561,28.0,55750.0,4785,1433,1182,1549,621,0.6907571288102261
116,06037117202,117202,-1.1562202674570727,35.0,79464.0,2577,552,539,929,557,1.3369330453563715
117,06037117301,117301,-0.25663988737458104,37.0,95391.0,4005,774,880,1731,620,1.3127600554785022
118,06037117302,117302,-0.16268301932226115,34.0,95303.0,5335,1239,943,2217,936,0.7518939393939394
119,06037117303,117303,-0.9245180607543931,35.0,81517.0,3578,752,740,1513,573,1.4880546075085324
120,06037117404,117404,0.3702710802223236,31.0,85448.0,4729,904,1240,2100,485,1.4750420639371846
121,06037117405,117405,1.345507240523229,27.0,36582.0,3723,1189,1284,1164,86,0.22141560798548093
122,06037117407,117407,0.8405560836719321,33.0,28512.0,4064,1526,1057,1368,113,0.24107604759441284
123,06037117408,117408,2.2266522907629698,31.0,34630.0,3333,1147,872,1172,142,0.40115163147792704
124,06037117510,117510,1.365792194251908,36.0,42432.0,4340,1670,1210,1248,212,0.5578890683898762
125,06037117520,117520,1.5418674409828155,31.0,37375.0,4133,1250,1333,1350,200,0.3907628437986507
126,06037117530,117530,1.4102499266609736,38.0,51875.0,6864,2005,2297,2123,439,0.8190279214064116
127,06037119001,119001,-0.8066871171743863,36.0,76932.0,4329,1037,1169,1584,539,1.7459366980325064
