,Station,lat,lon,zipcode,Geo_FIPS,concentrated_disadvantage,commute_time,cars_per_home,median_household_income,Total Sessions,Total Connection Time,Total Amount,Total kWh
147,AUI-10341,34.063514,-118.19118,90032,6037201402,0.1366635032630607,33.0,1.2251867662753468,56698.0,8,12:34,0.0,83.206
148,AUI-10337,34.051089399999995,-118.4385126,90024-3990,6037265520,-0.08871967969028358,26.0,0.2436164669098489,102708.0,29,33:36,0.0,209.732
149,AUI-10378,33.958586700000005,-118.44923610000001,90293,6037278102,-0.6873638269221036,31.0,0.4503851381966471,138456.0,95,367:29,0.0,1803.1860000000001
150,AUI-10366,34.05788870000001,-118.44310039999999,90024,6037265510,0.8466424879298937,22.0,0.05183431952662722,52917.0,7,13:31,0.0,91.23100000000001
151,AUI-10336,34.15887379999999,-118.3968676,91607,6037124000,0.4625438214769731,28.0,0.5410539215686274,84201.0,80,207:57,0.0,851.722
152,AUI-10376,33.9731993,-118.3948075,90045,6037277000,-0.8073810018076243,30.0,0.6801575931232091,138542.0,2,0:02,0.0,0.145
153,AUI-10382,34.1648054,-118.36349640000002,91601,6037125501,0.2259276502635271,33.0,0.2662860980523841,47227.0,21,74:31,0.0,191.764
154,AUI-10364,34.02042369999999,-118.380283,90016,6037702502,-0.23421623742125466,29.0,0.3760877790389709,86081.0,5,0:44,0.0,2.715
155,AUI-10389,34.0507581,-118.3511493,90019,6037217100,-0.3331028927439653,30.0,0.2329766536964981,64298.0,15,106:14,0.0,136.281
156,AUI-10388,34.249297,-118.535973,91324-2036,6037115201,-0.251629561451947,25.0,0.5949529512403764,63768.0,8,3:40,0.0,15.432
157,AUI-10363,33.9572904,-118.2863728,90044,6037240300,1.3652978363496833,34.0,0.3533133533133533,24368.0,4,2:25,0.0,15.956
158,AUI-10390,34.251165,-118.4415257,91331,6037119201,0.04407327882917717,30.0,1.8279569892473118,74012.0,29,202:50,0.0,577.5830000000001
159,AUI-10385,34.262751,-118.40008,91331,6037104704,0.5215081807051171,33.0,1.102642901044868,48581.0,4,3:42,0.0,16.754
160,AUI-10377,34.07873,-118.26208799999999,90026,6037195600,-0.11436779773384045,31.0,0.3559795253606329,70870.0,14,18:20,0.0,73.02199999999999
161,AUI-10352,34.200786,-118.37893400000002,91605-5738,6037123010,0.2146812127825626,34.0,0.6630743051616562,32768.0,12,9:35,0.0,59.852
162,AUI-10383,34.1670008,-118.3748155,91601,6037125320,0.20589764669868554,29.0,0.20930232558139536,34681.0,81,248:49,0.0,899.057
163,AUI-10367,34.074090000000005,-118.164775,90032,6037201602,0.4511711570989905,33.0,1.082191780821918,59853.0,4,1:29,0.0,10.168
